manufacturer,serial,device,lua,"本文件专用于H7-TOOL产品,版权归属武汉安富莱电子有限公司",2020-10-12,,,,
ST,STM32F10x,STM32F107RC,STM32F10x_CL_256.lua,,,,,,
ST,STM32F10x,STM32F107VB,STM32F10x_CL_128.lua,,,,,,
ST,STM32F10x,STM32F107VC,STM32F10x_CL_256.lua,,,,,,
ST,STM32F2xx,STM32F2xxxB_128,STM32F2xxxB_128.lua,,,,,,
ST,STM32F2xx,STM32F2xxxC_256,STM32F2xxxC_256.lua,,,,,,
ST,STM32F2xx,STM32F2xxxE_512,STM32F2xxxE_512.lua,,,,,,
ST,STM32F2xx,STM32F2xxxF_768,STM32F2xxxF_768.lua,,,,,,
ST,STM32F2xx,STM32F2xxxG_1024,STM32F2xxxG_1024.lua,,,,,,
ST,STM32F2xx,********************,STM32F2xxxB_128.lua,,,,,,
ST,STM32F2xx,STM32F205RB,STM32F2xxxB_128.lua,,,,,,
ST,STM32F2xx,STM32F205RC,STM32F2xxxC_256.lua,,,,,,
ST,STM32F2xx,STM32F205RE,STM32F2xxxE_512.lua,,,,,,
ST,STM32F2xx,STM32F205RF,STM32F2xxxF_768.lua,,,,,,
ST,STM32F2xx,STM32F205RG,STM32F2xxxG_1024.lua,,,,,,
ST,STM32F2xx,STM32F205VB,STM32F2xxxB_128.lua,,,,,,
ST,STM32F2xx,STM32F205VC,STM32F2xxxC_256.lua,,,,,,
ST,STM32F2xx,STM32F205VE,STM32F2xxxE_512.lua,,,,,,
ST,STM32F2xx,STM32F205VF,STM32F2xxxF_768.lua,,,,,,
ST,STM32F2xx,STM32F205VG,STM32F2xxxG_1024.lua,,,,,,
ST,STM32F2xx,STM32F205ZC,STM32F2xxxC_256.lua,,,,,,
ST,STM32F2xx,STM32F205ZE,STM32F2xxxE_512.lua,,,,,,
ST,STM32F2xx,STM32F205ZF,STM32F2xxxF_768.lua,,,,,,
ST,STM32F2xx,STM32F205ZG,STM32F2xxxG_1024.lua,,,,,,
ST,STM32F2xx,STM32F207IC,STM32F2xxxC_256.lua,,,,,,
ST,STM32F2xx,STM32F207IE,STM32F2xxxE_512.lua,,,,,,
ST,STM32F2xx,STM32F207IF,STM32F2xxxF_768.lua,,,,,,
ST,STM32F2xx,STM32F207IG,STM32F2xxxG_1024.lua,,,,,,
ST,STM32F2xx,STM32F207VC,STM32F2xxxC_256.lua,,,,,,
ST,STM32F2xx,STM32F207VE,STM32F2xxxE_512.lua,,,,,,
ST,STM32F2xx,STM32F207VF,STM32F2xxxF_768.lua,,,,,,
ST,STM32F2xx,STM32F207VG,STM32F2xxxG_1024.lua,,,,,,
ST,STM32F2xx,STM32F207ZC,STM32F2xxxC_256.lua,,,,,,
ST,STM32F2xx,STM32F207ZE,STM32F2xxxE_512.lua,,,,,,
ST,STM32F2xx,STM32F207ZF,STM32F2xxxF_768.lua,,,,,,
ST,STM32F2xx,STM32F207ZG,STM32F2xxxG_1024.lua,,,,,,
ST,STM32F2xx,STM32F215RE,STM32F2xxxE_512.lua,,,,,,
ST,STM32F2xx,STM32F215RG,STM32F2xxxG_1024.lua,,,,,,
ST,STM32F2xx,STM32F215VE,STM32F2xxxE_512.lua,,,,,,
ST,STM32F2xx,STM32F215VG,STM32F2xxxG_1024.lua,,,,,,
ST,STM32F2xx,STM32F215ZE,STM32F2xxxE_512.lua,,,,,,
ST,STM32F2xx,STM32F215ZG,STM32F2xxxG_1024.lua,,,,,,
ST,STM32F2xx,STM32F217IE,STM32F2xxxE_512.lua,,,,,,
ST,STM32F2xx,STM32F217IG,STM32F2xxxG_1024.lua,,,,,,
ST,STM32F2xx,STM32F217VE,STM32F2xxxE_512.lua,,,,,,
ST,STM32F2xx,STM32F217VG,STM32F2xxxG_1024.lua,,,,,,
ST,STM32F2xx,STM32F217ZE,STM32F2xxxE_512.lua,,,,,,
ST,STM32F2xx,STM32F217ZG,STM32F2xxxG_1024.lua,,,,,,
ST,STM32F3xx,STM32F3xxx6_32,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F3xxx8_64,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F3xxxB_128,STM32F3xxxB_128.lua,,,,,,
ST,STM32F3xx,STM32F3xxxC_256,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F3xxxD_384,STM32F3xxxD_384.lua,,,,,,
ST,STM32F3xx,STM32F3xxxE_512,STM32F3xxxE_512.lua,,,,,,
ST,STM32F3xx,********************,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F301C6,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F301C8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F301K6,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F301K8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F301R6,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F301R8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F302C6,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F302C8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F302CB,STM32F3xxxB_128.lua,,,,,,
ST,STM32F3xx,STM32F302CC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F302K6,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F302K8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F302R6,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F302R8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F302RB,STM32F3xxxB_128.lua,,,,,,
ST,STM32F3xx,STM32F302RC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F302RD,STM32F3xxxD_384.lua,,,,,,
ST,STM32F3xx,STM32F302RE,STM32F3xxxE_512.lua,,,,,,
ST,STM32F3xx,STM32F302VB,STM32F3xxxB_128.lua,,,,,,
ST,STM32F3xx,STM32F302VC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F302VD,STM32F3xxxD_384.lua,,,,,,
ST,STM32F3xx,STM32F302VE,STM32F3xxxE_512.lua,,,,,,
ST,STM32F3xx,STM32F302ZD,STM32F3xxxD_384.lua,,,,,,
ST,STM32F3xx,STM32F302ZE,STM32F3xxxE_512.lua,,,,,,
ST,STM32F3xx,STM32F303C6,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F303C8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F303CB,STM32F3xxxB_128.lua,,,,,,
ST,STM32F3xx,STM32F303CC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F303K6,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F303K8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F303R6,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F303R8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F303RB,STM32F3xxxB_128.lua,,,,,,
ST,STM32F3xx,STM32F303RC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F303RD,STM32F3xxxD_384.lua,,,,,,
ST,STM32F3xx,STM32F303RE,STM32F3xxxE_512.lua,,,,,,
ST,STM32F3xx,STM32F303VB,STM32F3xxxB_128.lua,,,,,,
ST,STM32F3xx,STM32F303VC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F303VD,STM32F3xxxD_384.lua,,,,,,
ST,STM32F3xx,STM32F303VE,STM32F3xxxE_512.lua,,,,,,
ST,STM32F3xx,STM32F303ZD,STM32F3xxxD_384.lua,,,,,,
ST,STM32F3xx,STM32F303ZE,STM32F3xxxE_512.lua,,,,,,
ST,STM32F3xx,STM32F318C8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F318K8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F328C8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F334C4,STM32F3xxx4.lua,,,,,,
ST,STM32F3xx,STM32F334C6,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F334C8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F334K4,STM32F3xxx4.lua,,,,,,
ST,STM32F3xx,STM32F334K6,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F334K8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F334R6,STM32F3xxx6_32.lua,,,,,,
ST,STM32F3xx,STM32F334R8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F358CC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F358RC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F358VC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F373C8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F373CB,STM32F3xxxB_128.lua,,,,,,
ST,STM32F3xx,STM32F373CC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F373R8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F373RB,STM32F3xxxB_128.lua,,,,,,
ST,STM32F3xx,STM32F373RC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F373V8,STM32F3xxx8_64.lua,,,,,,
ST,STM32F3xx,STM32F373VB,STM32F3xxxB_128.lua,,,,,,
ST,STM32F3xx,STM32F373VC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F378CC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F378RC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F378VC,STM32F3xxxC_256.lua,,,,,,
ST,STM32F3xx,STM32F398VE,STM32F3xxxE_512.lua,,,,,,
ST,STM32F4xx,STM32F401xB_128,STM32F401xx_128.lua,,,,,,
ST,STM32F4xx,STM32F401xC_256,STM32F401xx_256.lua,,,,,,
ST,STM32F4xx,STM32F401xD_384,STM32F401xx_384.lua,,,,,,
ST,STM32F4xx,STM32F401xE_512,STM32F401xx_512.lua,,,,,,
ST,STM32F4xx,STM32F40xxG_41xxG_1024,STM32F40xxx_41xxx_1024.lua,,,,,,
ST,STM32F4xx,STM32F40xxE_41xxE_512,STM32F40xxx_41xxx_512.lua,,,,,,
ST,STM32F4xx,STM32F410xG_412xG_1024,STM32F410xx_412xx_1024.lua,,,,,,
ST,STM32F4xx,STM32F410xB_412xB_128,STM32F410xx_412xx_128.lua,,,,,,
ST,STM32F4xx,STM32F410xE_412xE_512,STM32F410xx_412xx_512.lua,,,,,,
ST,STM32F4xx,STM32F410x8_412x8_64,STM32F410xx_412xx_64.lua,,,,,,
ST,STM32F4xx,STM32F411xC_256,STM32F411xx_256.lua,,,,,,
ST,STM32F4xx,STM32F411xE_512,STM32F411xx_512.lua,,,,,,
